Regiao,Cenario,Nos,EnergiaTotalExt_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,PerdasColisaoExt,PerdasSinalFracoExt,PerdasSaturacaoExt,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
EU,1,2000,50370.1,25.1851,37.2691,0.446836,930.406,0.90102,180054,0,0,1119,284,214,153,95,135,16
EU,1,2000,50372.7,25.1864,37.7898,0.45033,930.42,0.903281,178529,0,0,1126,274,226,130,93,151,17
EU,1,2000,50531,25.2655,38.5572,0.453735,1079.72,0.896032,176352,0,0,1136,266,234,134,86,144,18
EU,1,2000,50316.4,25.1582,38.8225,0.462086,914.511,0.913653,175580,0,0,1112,291,236,135,96,130,21
EU,1,2000,50255.9,25.128,38.0822,0.464284,954.899,0.931267,177704,0,0,1109,303,223,135,83,147,19
EU,1,2000,49913.7,24.9569,39.6666,0.476851,873.695,0.938156,173155,0,0,1091,303,248,134,84,140,22
EU,1,2000,50002.7,25.0014,39.8307,0.47562,886.78,0.926241,172692,0,0,1099,305,216,144,85,151,24
EU,1,2000,51492.1,25.7461,36.507,0.433488,1058.33,0.898723,182225,0,0,1159,288,194,123,93,143,20
EU,1,2000,50398.7,25.1993,38.8316,0.463209,959.363,0.923707,175555,0,0,1119,285,218,142,105,131,25
EU,1,2000,49704.3,24.8522,38.6223,0.467451,1068.16,0.937406,176146,0,0,1080,321,222,156,83,138,23
EU,1,2000,50030.9,25.0155,38.0484,0.459833,966.112,0.924388,177795,0,0,1106,289,239,132,89,145,26
EU,1,2000,50563.5,25.2818,39.0391,0.463473,994.641,0.929305,174951,0,0,1122,291,229,124,92,142,27
EU,1,2000,50352.5,25.1762,38.406,0.457673,942.73,0.876503,176752,0,0,1132,264,216,141,109,138,28
EU,1,2000,50143.1,25.0715,38.7441,0.461374,926.399,0.90698,175805,0,0,1114,275,237,149,96,129,30
EU,1,2000,50352.9,25.1765,37.9553,0.457,958.841,0.930469,178064,0,0,1119,278,234,147,100,122,29
EU,1,2000,50280.6,25.1403,37.0827,0.448267,953.256,0.905583,180586,0,0,1122,276,225,125,109,143,31
EU,1,2000,50284.6,25.1423,38.5592,0.457598,996.118,0.898098,176348,0,0,1120,262,245,139,89,145,32
EU,1,2000,50559,25.2795,38.5382,0.463689,1022.94,0.925691,176391,0,0,1122,286,224,137,101,130,33
EU,1,5000,128572,25.7145,15.3773,0.182418,6954.18,0.607139,607134,0,0,2784,688,537,360,237,394,1
EU,1,5000,130285,26.057,16.0812,0.18862,7050.4,0.61006,602144,0,0,2808,738,528,327,228,371,2
EU,1,5000,128536,25.7071,15.8971,0.187202,7045.96,0.597091,603439,0,0,2758,736,581,351,205,369,3
EU,1,5000,130123,26.0245,15.4824,0.182389,6828.29,0.596072,606428,0,0,2811,711,553,364,209,352,8
EU,1,5000,129569,25.9138,15.8692,0.186227,7339.82,0.593227,603623,0,0,2808,698,515,371,225,383,4
EU,1,5000,129246,25.8493,16.2504,0.193013,7406.27,0.608957,600881,0,0,2780,722,512,400,222,364,7
EU,1,5000,130769,26.1537,14.347,0.169686,7247.27,0.594168,614562,0,0,2827,731,529,355,224,334,9
EU,1,5000,130600,26.1201,15.6846,0.183706,7580.34,0.588634,604949,0,0,2825,714,547,346,209,359,5
EU,1,5000,128299,25.6598,15.9139,0.18645,7698.09,0.601961,603384,0,0,2743,744,544,386,243,340,6
EU,1,5000,128714,25.7429,15.8171,0.186802,7237.06,0.608396,604004,0,0,2754,741,572,362,202,369,11
EU,1,5000,131343,26.2687,15.2109,0.179072,7396.91,0.598949,608398,0,0,2852,725,511,349,217,346,10
EU,1,5000,129943,25.9885,15.8134,0.184766,7426.93,0.604367,603987,0,0,2802,709,547,320,255,367,12
EU,1,5000,131543,26.3086,14.6773,0.173949,6843.5,0.631413,612122,0,0,2847,720,555,352,193,333,14
EU,1,5000,129761,25.9521,15.6322,0.184154,7367.12,0.615739,605342,0,0,2788,753,524,361,254,320,13
EU,1,5000,129223,25.8446,15.4477,0.182669,7287.64,0.594955,606601,0,0,2780,722,567,352,219,360,15
EU,1,5000,130180,26.0361,15.8571,0.186187,7260.1,0.60618,603725,0,0,2807,722,542,347,222,360,17
EU,1,5000,130201,26.0401,15.1262,0.178232,7336.89,0.607063,608980,0,0,2802,727,560,349,221,341,16
EU,1,5000,129606,25.9211,15.5148,0.184033,7545.47,0.621524,606209,0,0,2784,702,608,338,210,358,18
EU,1,5000,129509,25.9018,16.4618,0.193723,7220.19,0.603366,599411,0,0,2778,734,561,345,211,371,19
EU,1,5000,131194,26.2387,15.538,0.18176,7411.49,0.596533,605977,0,0,2841,714,545,322,211,367,20
EU,1,5000,126842,25.3684,17.3616,0.205867,7074.79,0.605442,592995,0,0,2721,713,563,375,232,396,22
EU,1,5000,129127,25.8255,15.8971,0.189122,7443.58,0.601449,603443,0,0,2759,737,583,356,227,338,21
EU,1,5000,128060,25.612,15.6269,0.186913,7085.49,0.607166,605406,0,0,2740,749,571,364,199,377,23
EU,1,5000,129973,25.9946,16.0568,0.186882,7100.51,0.582307,602289,0,0,2812,711,558,325,249,345,25
