Regiao,Cenario,Nos,EnergiaTotalExt_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,Enviados,Recebidos,PerdasColisaoExt,PerdasSinalFracoExt,PerdasSaturacaoExt,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
BR,1,1000,13289.2,13.2892,97.7052,0.991092,47.4129,1.75613,133866,130794,3072,0,0,530,171,116,80,44,59,23
BR,1,1000,13182.4,13.1824,96.2346,0.982312,48.3123,1.73806,133141,128128,5013,0,0,538,154,111,65,47,85,24
BR,1,1000,13416.7,13.4167,96.6683,0.984697,38.1621,1.77475,133184,128746,4437,0,0,554,150,111,81,42,62,25
BR,1,1000,13317.9,13.3179,97.1026,0.985765,44.99,1.7614,133269,129408,3861,0,0,546,146,127,68,49,64,26
BR,1,1000,13494.8,13.4948,96.4423,0.985432,42.313,1.78298,133120,128384,4736,0,0,568,135,115,71,43,68,27
BR,1,1000,13203.5,13.2035,96.8,0.986037,49.0992,1.74447,133333,129066,4266,0,0,555,123,114,81,55,72,28
BR,1,1000,13564.1,13.5641,96.7397,0.983077,43.3301,1.79087,133482,129130,4352,0,0,568,133,118,65,54,62,29
BR,1,1000,13604.7,13.6047,97.0841,0.986601,48.7116,1.79695,133888,129984,3904,0,0,563,139,127,68,38,65,30
BR,1,1000,13287.9,13.2879,96.4696,0.98482,38.2931,1.75124,133546,128832,4714,0,0,552,128,127,73,50,70,31
BR,1,1000,13651.7,13.6517,97.1268,0.986921,39.7583,1.81552,132906,129088,3818,0,0,571,140,119,70,44,56,32
BR,1,1000,13661.8,13.6618,96.7237,0.985328,41.296,1.80663,133482,129109,4373,0,0,569,140,124,54,50,63,33
BR,1,2000,26817.9,13.409,94.3564,0.974707,129.833,1.7517,266496,251456,15040,0,0,1124,269,208,138,101,160,1
BR,1,2000,26916.5,13.4583,94.0884,0.972579,104.954,1.7598,266325,250581,15744,0,0,1125,280,220,141,100,134,2
BR,1,2000,26955.4,13.4777,94.2992,0.974669,133.614,1.76167,266816,251605,15210,0,0,1118,294,221,138,75,154,3
BR,1,2000,26900,13.45,93.9069,0.972966,120.631,1.75268,266794,250538,16256,0,0,1122,280,212,145,88,153,4
BR,1,2000,27168.1,13.5841,94.0442,0.973197,110.372,1.77954,266496,250624,15872,0,0,1138,277,222,134,85,144,5
BR,1,2000,26422,13.211,94.0744,0.973454,127.932,1.72677,266773,250965,15808,0,0,1084,297,221,148,102,148,6
BR,1,2000,26749.4,13.3747,94.2579,0.973406,123.832,1.74254,267498,252138,15360,0,0,1112,277,206,163,84,158,7
BR,1,2000,26977.9,13.4889,94.1346,0.972503,108.619,1.7631,266602,250965,15637,0,0,1129,269,232,147,90,133,8
BR,1,2000,27505.7,13.7529,93.7336,0.970985,132.033,1.78872,267584,250816,16768,0,0,1148,288,197,146,90,131,9
BR,1,2000,27083.4,13.5417,93.9268,0.969876,120.137,1.76962,266261,250090,16170,0,0,1127,302,211,139,85,136,10
BR,1,2000,26906.5,13.4532,94.8835,0.978229,120.84,1.76088,267264,253589,13674,0,0,1105,310,220,148,70,147,11
BR,1,2000,26751.7,13.3758,94.0258,0.971853,130.81,1.7473,266389,250474,15914,0,0,1110,290,217,135,109,139,12
BR,1,2000,26657.3,13.3287,94.5369,0.974575,115.614,1.74249,266709,252138,14570,0,0,1100,297,201,158,111,133,13
BR,1,2000,26992.4,13.4962,94.8956,0.977196,137.691,1.77121,266645,253034,13610,0,0,1117,295,220,143,84,141,14
BR,1,2000,26519.7,13.2599,93.6709,0.970277,117.195,1.72908,266282,249429,16853,0,0,1082,305,232,146,93,142,15
BR,1,2000,26907.3,13.4537,93.6007,0.968647,114.165,1.75192,267029,249941,17088,0,0,1119,284,214,153,95,135,16
BR,1,2000,26937.9,13.469,94.1695,0.97378,116.856,1.76335,266005,250496,15509,0,0,1126,274,226,130,93,151,17
BR,1,2000,27143.4,13.5717,94.4742,0.975467,128.586,1.77479,267157,252394,14762,0,0,1136,266,234,134,86,144,18
BR,1,2000,26899.2,13.4496,94.4986,0.97354,124.599,1.75792,266794,252117,14677,0,0,1109,303,223,135,83,147,19
BR,1,2000,27498.9,13.7494,93.756,0.97145,132.63,1.79993,266496,249856,16640,0,0,1159,288,194,123,93,143,20
BR,1,2000,26882.9,13.4414,93.123,0.969043,111.868,1.7468,266474,248149,18325,0,0,1112,291,236,135,96,130,21
BR,1,2000,26646,13.323,93.9251,0.971886,112.951,1.73609,266538,250346,16192,0,0,1091,303,248,134,84,140,22
BR,1,2000,26618,13.309,93.6876,0.9689,124.525,1.73103,266986,250133,16853,0,0,1080,321,222,156,83,138,23
BR,1,2000,26754.3,13.3772,93.8803,0.97147,108.704,1.74027,267029,250688,16341,0,0,1099,305,216,144,85,151,24
BR,1,2000,26961.5,13.4808,94.2173,0.973053,131.174,1.75943,267093,251648,15445,0,0,1119,285,218,142,105,131,25
BR,1,2000,26770.6,13.3853,94.6854,0.976961,134.245,1.75509,266538,252373,14165,0,0,1106,289,239,132,89,145,26
BR,1,2000,26934.8,13.4674,95.2736,0.978421,119.968,1.77075,266304,253717,12586,0,0,1122,291,229,124,92,142,27
BR,1,2000,26889.6,13.4448,93.719,0.972107,103.471,1.75718,266282,249557,16725,0,0,1132,264,216,141,109,138,28
BR,1,2000,26921.7,13.4608,94.1581,0.97271,115.245,1.75679,266581,251008,15573,0,0,1119,278,234,147,100,122,29
BR,1,2000,26759.2,13.3796,93.8829,0.972515,132.465,1.74323,266794,250474,16320,0,0,1114,275,237,149,96,129,30
BR,1,2000,26786.5,13.3933,94.1422,0.975484,128.601,1.75563,265856,250282,15573,0,0,1122,276,225,125,109,143,31
BR,1,2000,26825.6,13.4128,93.764,0.971418,116.819,1.7446,266837,250197,16640,0,0,1120,262,245,139,89,145,32
BR,1,2000,27001.9,13.501,93.1936,0.967721,113.128,1.75535,266730,248576,18154,0,0,1122,286,224,137,101,130,33
BR,1,5000,66670.2,13.334,85.7798,0.927327,702.13,1.66396,665344,570730,94613,0,0,2784,688,537,360,237,394,1
BR,1,5000,67570.3,13.5141,86.0487,0.929594,665.994,1.68805,667008,573952,93056,0,0,2808,738,528,327,228,371,2
BR,1,5000,66918,13.3836,86.0477,0.927772,680.313,1.67201,666346,573376,92970,0,0,2758,736,581,351,205,369,3
BR,1,5000,67088.9,13.4178,86.0174,0.930417,586.148,1.68012,665514,572458,93056,0,0,2808,698,515,371,225,383,4
BR,1,5000,67689.7,13.5379,85.413,0.923857,641.056,1.68881,666602,569365,97237,0,0,2825,714,547,346,209,359,5
BR,1,5000,66829.5,13.3659,85.8825,0.926383,629.012,1.66002,668522,574144,94378,0,0,2743,744,544,386,243,340,6
BR,1,5000,67054.1,13.4108,85.6517,0.927678,597.504,1.66957,666688,571029,95658,0,0,2780,722,512,400,222,364,7
BR,1,5000,67525.9,13.5052,86.3256,0.929403,701.212,1.69002,667093,575872,91221,0,0,2811,711,553,364,209,352,8
BR,1,5000,67855.2,13.571,85.9647,0.930392,568.483,1.70191,666965,573354,93610,0,0,2827,731,529,355,224,334,9
BR,1,5000,68127.2,13.6254,85.8154,0.930125,725.834,1.70821,666261,571754,94506,0,0,2852,725,511,349,217,346,10
BR,1,5000,66912.2,13.3824,85.9875,0.930564,606.758,1.66669,667136,573653,93482,0,0,2754,741,572,362,202,369,11
BR,1,5000,67184.7,13.4369,86.0951,0.928765,688.077,1.68025,665856,573269,92586,0,0,2802,709,547,320,255,367,12
BR,1,5000,67387.7,13.4775,86.3037,0.932347,622.366,1.68892,666496,575210,91285,0,0,2788,753,524,361,254,320,13
BR,1,5000,68225.7,13.6451,85.2956,0.92589,630.223,1.70885,666069,568128,97941,0,0,2847,720,555,352,193,333,14
BR,1,5000,66922.6,13.3845,86.2976,0.930776,676.023,1.67915,665109,573973,91136,0,0,2780,722,567,352,219,360,15
BR,1,5000,67514.2,13.5028,86.0262,0.930137,645.3,1.68764,666389,573269,93120,0,0,2802,727,560,349,221,341,16
BR,1,5000,67563.4,13.5127,86.1962,0.930297,589.691,1.68884,667178,575082,92096,0,0,2807,722,542,347,222,360,17
BR,1,5000,67045.7,13.4091,86.0154,0.928621,584.14,1.67927,666026,572885,93141,0,0,2784,702,608,338,210,358,18
BR,1,5000,67195.2,13.439,86.4615,0.931934,655.043,1.68239,666858,576576,90282,0,0,2778,734,561,345,211,371,19
BR,1,5000,67927.9,13.5856,85.567,0.926321,593.816,1.69924,666176,570026,96149,0,0,2841,714,545,322,211,367,20
BR,1,5000,66978.5,13.3957,86.4467,0.931818,722.312,1.67952,666602,576256,90346,0,0,2759,737,583,356,227,338,21
BR,1,5000,66127.5,13.2255,86.9362,0.933224,738.43,1.64953,667904,580650,87253,0,0,2721,713,563,375,232,396,22
BR,1,5000,66674.1,13.3348,86.4963,0.931624,679.239,1.67246,666837,576789,90048,0,0,2740,749,571,364,199,377,23
BR,1,5000,67092.2,13.4184,86.3452,0.930673,562.296,1.68111,666176,575210,90965,0,0,2773,735,562,353,219,358,24
BR,1,5000,67529.4,13.5059,85.6617,0.92659,545.436,1.68481,667008,571370,95637,0,0,2812,711,558,325,249,345,25
BR,1,5000,67046.2,13.4092,86.7251,0.931627,713.621,1.68133,666922,578389,88533,0,0,2778,709,584,363,221,345,26
BR,1,5000,67116.3,13.4233,86.3505,0.932351,620.693,1.68162,666752,575744,91008,0,0,2781,717,575,339,237,351,27
BR,1,5000,67422.1,13.4844,85.4689,0.925747,609.795,1.6799,666816,569920,96896,0,0,2811,695,553,358,253,330,28
BR,1,5000,66676.3,13.3353,86.1956,0.930325,608.995,1.66351,666688,574656,92032,0,0,2754,734,541,366,259,346,29
BR,1,5000,67114.8,13.423,86.6711,0.933329,585.066,1.68306,667264,578325,88938,0,0,2788,699,570,363,221,359,30
BR,1,5000,67222.5,13.4445,85.1726,0.924499,593.97,1.67089,667306,568362,98944,0,0,2790,712,566,339,225,368,31
BR,1,5000,67315.4,13.4631,85.7243,0.927129,566.801,1.6827,667093,571861,95232,0,0,2788,709,584,358,209,352,32
BR,1,5000,67001.5,13.4003,85.4352,0.923649,590.196,1.66934,666005,569002,97002,0,0,2790,690,567,368,225,360,33
BR,2,100,1267.41,12.6741,99.7579,0.999603,3.16233,2.55846,8810,8789,21,0,0,95,0,0,0,0,5,1
BR,2,100,1282.15,12.8215,98.7923,0.996411,3.06913,2.5825,8832,8725,106,0,0,97,0,0,0,0,3,2
BR,2,100,1292.06,12.9206,98.3491,0.993078,3.08382,2.54127,9045,8896,149,0,0,94,0,0,0,0,6,3
BR,2,100,1281.67,12.8167,97.5728,0.989813,3.19988,2.59416,8789,8576,213,0,0,97,0,0,0,0,3,4
BR,2,100,1324.46,13.2446,95.0704,0.984165,3.22935,2.59443,9088,8640,448,0,0,97,0,0,0,0,3,5
BR,2,100,1285.57,12.8557,98.8038,0.997739,3.081,2.56475,8917,8810,106,0,0,95,0,0,0,0,5,6
BR,2,100,1267.78,12.6778,99.759,0.999603,3.01504,2.54668,8853,8832,21,0,0,94,0,0,0,0,6,7
BR,2,100,1280.47,12.8047,99.2908,0.998823,3.10927,2.524,9024,8960,64,0,0,91,0,0,0,0,9,8
BR,2,100,1284.29,12.8429,98.7775,0.996733,3.11464,2.61921,8725,8618,106,0,0,99,0,0,0,0,1,9
BR,2,100,1306.12,13.0612,97.381,0.992434,3.21654,2.5948,8960,8725,234,0,0,97,0,0,0,0,3,10
BR,2,100,1282.13,12.8213,98.3133,0.994082,3.11956,2.57624,8853,8704,149,0,0,95,0,0,0,0,5,11
BR,2,100,1306.87,13.0687,96.4789,0.989186,3.13944,2.55827,9088,8768,320,0,0,95,0,0,0,0,5,12
BR,2,100,1279.67,12.7967,98.8038,0.997739,3.16724,2.55256,8917,8810,106,0,0,95,0,0,0,0,5,13
BR,2,100,1274.01,12.7401,100,1,3.1334,2.53573,8938,8938,0,0,0,92,0,0,0,0,8,14
BR,2,100,1307.24,13.0724,96.729,0.990554,3.17593,2.54668,9130,8832,298,0,0,94,0,0,0,0,6,15
BR,2,100,1285.38,12.8538,98.3213,0.994206,3.12406,2.57037,8896,8746,149,0,0,96,0,0,0,0,4,16
BR,2,100,1275.85,12.7585,99.5134,0.99921,3.10299,2.58866,8768,8725,42,0,0,97,0,0,0,0,3,17
BR,2,100,1297.44,12.9744,97.1496,0.991004,3.1064,2.57021,8981,8725,256,0,0,95,0,0,0,0,5,18
BR,2,100,1300.88,13.0088,96.9412,0.989954,3.0982,2.55239,9066,8789,277,0,0,94,0,0,0,0,6,19
BR,2,100,1282.92,12.8292,98.8095,0.997739,3.08354,2.54689,8960,8853,106,0,0,94,0,0,0,0,6,20
BR,2,100,1276.41,12.7641,99.0361,0.995561,3.11192,2.56441,8853,8768,85,0,0,95,0,0,0,0,5,21
BR,2,100,1297.12,12.9712,98.0861,0.996416,3.41491,2.58874,8917,8746,170,0,0,97,0,0,0,0,3,22
BR,2,100,1282.75,12.8275,98.5646,0.997365,3.27719,2.55849,8917,8789,128,0,0,94,0,0,0,0,6,23
BR,2,100,1292.61,12.9261,98.3568,0.996996,3.41685,2.52972,9088,8938,149,0,0,93,0,0,0,0,7,24
BR,2,100,1299.71,12.9971,97.3558,0.99248,3.13238,2.60684,8874,8640,234,0,0,98,0,0,0,0,2,25
BR,2,100,1279.44,12.7944,99.2788,0.998504,3.15393,2.56474,8874,8810,64,0,0,95,0,0,0,0,5,26
BR,2,100,1273.68,12.7368,99.7596,0.999603,3.10635,2.55297,8874,8853,21,0,0,93,0,0,0,0,7,27
BR,2,100,1282.29,12.8229,98.5577,0.995967,3.12611,2.57036,8874,8746,128,0,0,96,0,0,0,0,4,28
BR,2,100,1282.58,12.8258,98.5646,0.997365,3.11812,2.55849,8917,8789,128,0,0,94,0,0,0,0,6,29
BR,2,100,1287.97,12.8797,99.2771,0.998823,3.12078,2.58897,8853,8789,64,0,0,96,0,0,0,0,4,30
BR,2,100,1303.53,13.0353,96.9267,0.991305,3.15952,2.57037,9024,8746,277,0,0,95,0,0,0,0,5,31
BR,2,100,1294.37,12.9437,98.3294,0.996336,3.17698,2.57677,8938,8789,149,0,0,96,0,0,0,0,4,32
BR,2,100,1281.16,12.8116,98.2843,0.995653,3.2044,2.61912,8704,8554,149,0,0,99,0,0,0,0,1,33
BR,2,500,6788.58,13.5772,93.7387,0.98069,19.5256,2.57085,47018,44074,2944,0,0,475,0,0,0,0,25,1
BR,2,500,6896.44,13.7929,92.2317,0.97969,19.5513,2.58762,47509,43818,3690,0,0,479,0,0,0,0,21,2
BR,2,500,6900.65,13.8013,93.0139,0.982688,19.8797,2.58205,47637,44309,3328,0,0,481,0,0,0,0,19,3
BR,2,500,6907.58,13.8152,92.8635,0.979152,19.938,2.57252,47829,44416,3413,0,0,472,0,0,0,0,28,4
BR,2,500,6858.52,13.717,92.7673,0.979408,19.7248,2.57324,47488,44053,3434,0,0,475,0,0,0,0,25,5
BR,2,500,6792.32,13.5846,93.699,0.98106,19.7734,2.56966,47061,44096,2965,0,0,476,0,0,0,0,24,6
BR,2,500,6828.66,13.6573,94.3141,0.985497,19.5967,2.57275,47274,44586,2688,0,0,476,0,0,0,0,24,7
BR,2,500,6833.89,13.6678,93.3213,0.97898,19.8666,2.57455,47274,44117,3157,0,0,479,0,0,0,0,21,8
BR,2,500,6873.37,13.7467,92.7667,0.979765,19.74,2.59615,47189,43776,3413,0,0,483,0,0,0,0,17,9
BR,2,500,6866.31,13.7326,91.8505,0.97357,19.5122,2.58239,47381,43520,3861,0,0,478,0,0,0,0,22,10
BR,2,500,6858,13.716,93.1501,0.982535,19.8646,2.5806,47338,44096,3242,0,0,479,0,0,0,0,21,11
BR,2,500,6819.46,13.6389,93.6248,0.980744,19.4795,2.59377,46848,43861,2986,0,0,485,0,0,0,0,15,12
