Cenario,Nos,EnergiaTotal_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,PerdasColisao,PerdasSinalFraco,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
2,500,17620,35.2399,3.4367,0.0394402,55.3804,2.06095,0,0,494,1,1,0,0,4,24
2,500,17602.4,35.2048,1.8269,0.024,55.2839,1.58329,0,0,493,2,1,1,0,3,25
2,500,17671.5,35.343,2.40746,0.027991,56.6712,2.04874,0,0,495,0,2,1,1,1,26
2,500,17729.8,35.4596,2.61759,0.03,57.5267,2.44467,0,0,497,1,1,0,0,1,27
2,500,17528.6,35.0572,2.70468,0.0355789,56.6586,1.74453,0,0,491,1,3,1,1,3,28
2,500,17722.3,35.4446,1.81765,0.022,55.4288,2.36042,0,0,497,1,1,0,0,1,29
2,500,17588.7,35.1775,1.63053,0.0235117,46.1854,1.72557,0,0,493,1,3,0,0,3,30
2,500,17522.9,35.0458,2.43515,0.0319999,54.2728,1.6428,0,0,491,3,1,1,0,4,31
2,500,17661.1,35.3221,1.63499,0.024,40.0508,2.34213,0,0,495,2,2,0,1,0,32
2,500,17659.2,35.3185,2.22521,0.0279986,54.1804,2.18931,0,0,495,2,1,0,0,2,33
2,1000,35252.2,35.2522,1.46568,0.0236043,214.785,1.95815,0,0,987,5,4,0,0,4,1
2,1000,35347,35.347,1.60295,0.021945,219.807,2.0436,0,0,990,3,3,1,2,1,2
2,1000,35427,35.427,2.11534,0.0237434,202.749,2.05259,0,0,993,0,2,0,0,5,3
2,1000,35239.8,35.2398,2.51193,0.0338521,211.524,2.24225,0,0,987,6,3,0,1,3,4
2,1000,35426.9,35.4269,1.98322,0.0236782,203.887,2.26421,0,0,993,1,3,0,1,2,6
2,1000,35221.5,35.2215,3.6185,0.0402535,215.503,1.90146,0,0,986,3,0,1,3,7,5
2,1000,35248.6,35.2486,2.35802,0.0316924,203.057,2.1312,0,0,987,5,3,2,0,3,7
2,1000,35343,35.343,2.00214,0.0256591,219.104,2.03956,0,0,990,3,2,1,2,2,8
2,1000,35515.4,35.5154,1.70932,0.020466,212.198,2.23106,0,0,995,2,0,2,0,1,9
2,1000,35388.6,35.3886,2.45144,0.0297439,153.737,2.25033,0,0,991,1,4,2,0,2,10
2,1000,35373.8,35.3738,1.57414,0.0208154,198.259,2.0115,0,0,991,1,4,0,0,4,12
2,1000,35258.5,35.2585,1.79802,0.0258866,206.802,2.0933,0,0,988,5,3,0,2,2,11
2,1000,35455.8,35.4558,2.57341,0.0278796,196.312,2.17657,0,0,993,0,2,1,3,1,13
